title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
Prizzi's Honor,,85.0,62.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",14,5,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Director - Motion Picture(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",26700000.0
D.A.R.Y.L.,,53.0,55.0,,0,0,,,
Secret Admirer,,33.0,64.0,,0,0,,,
The Stuff,,73.0,48.0,,0,0,,,
Pale Rider,,93.0,83.0,,0,0,,,41410568.0
St. Elmo's Fire,,42.0,67.0,,0,0,,,
Mad Max Beyond Thunderdome,,79.0,49.0,Golden Globes - Best Original Song - Motion Picture(Nominated),1,0,,Golden Globes - Best Original Song - Motion Picture(Nominated),36230294.0
Silverado,Jeff Goldblum,78.0,80.0,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND(Nominated)",2,0,,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND(Nominated)",33200000.0
Explorers,,72.0,66.0,,0,0,,,
The Coca-Cola Kid,,47.0,40.0,,0,0,,,
The Legend of Billie Jean,,39.0,75.0,,0,0,,,
The Man With One Red Shoe,,47.0,40.0,,0,0,,,
Wetherby,,67.0,47.0,,0,0,,,
The Black Cauldron,,54.0,48.0,,0,0,,,21288692.0
The Heavenly Kid,,30.0,64.0,,0,0,,,
Kiss of the Spider Woman,,86.0,81.0,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",8,1,Oscars - ACTOR IN A LEADING ROLE(Won),"Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",
National Lampoon's European Vacation,,37.0,49.0,,0,0,,,49400000.0
Real Genius,,77.0,83.0,,0,0,,,
My Science Project,,11.0,56.0,,0,0,,,
Pee-wee's Big Adventure,,88.0,79.0,,0,0,,,
Summer Rental,,17.0,52.0,,0,0,,,24671000.0
