title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
diner,"Comedy,Drama",92%,77%,"Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)",2,0,,"Oscars - WRITING (Screenplay Written Directly for the Screen) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)",
the draughtsman's contract,"Comedy,Drama,Mystery",97%,85%,,0,0,,,
e.t. the extra-terrestrial,"Adventure,Family,Sci-Fi",99%,72%,,0,0,,,"$797,307,407"
eating raoul,"Comedy,Crime",86%,71%,,0,0,,,
endangered species,"Drama,Mystery,Thriller",19%,18%,,0,0,,,
the escape artist,"Comedy,Crime,Drama",80%,63%,,0,0,,,
eureka,"Drama,Thriller",,,,0,0,,,
the evil dead,Horror,86%,84%,,0,0,,,"$29,400,000"
evil under the sun,"Crime,Drama,Mystery",92%,73%,,0,0,,,
experience preferred... but not essential,Drama,88%,,,0,0,,,
fast times at ridgemont high,"Comedy,Drama",78%,80%,,0,0,,,"$27,093,116"
fast-walking,Drama,,48%,,0,0,,,
firefox,"Action,Adventure,Thriller",41%,42%,,0,0,,,"$45,785,720"
first blood,"Action,Adventure,Thriller",86%,86%,,0,0,,,"$125,212,904"
fitzcarraldo,"Adventure,Drama,Music",75%,92%,BAFTAs - Film | Foreign Language Film in 1983 (Nominated),1,0,,BAFTAs - Film | Foreign Language Film in 1983 (Nominated),
five days one summer,Drama,25%,33%,,0,0,,,
forbidden world,"Horror,Sci-Fi",60%,30%,,0,0,,,
forced vengeance,"Action,Adventure,Crime",,41%,,0,0,,,
frances,"Biography,Drama,Romance",67%,78%,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)",4,0,,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)",
