primaryTitle,originalTitle,genres,critic_score,audience_score
Rocky,rocky,Drama,,
Superman,superman,"Action,Sci-Fi",,
The Swordsman,the swordsman,"Adventure,Romance",,
Triple Threat,triple threat,"Action,Drama,Romance",,
Unfaithfully Yours,unfaithfully yours,"Comedy,Music,Romance",94%,85%
Whiplash,whiplash,"Drama,Film-Noir,Sport",,92%
The Winslow Boy,the winslow boy,Drama,,67%
All the King's Men,all the king's men,"Drama,Film-Noir",12%,40%
The Blue Lagoon,the blue lagoon,"Adventure,Drama,Romance",12%,53%
Conspirator,conspirator,"Crime,Drama,Thriller",0%,41%
Fools Rush In,fools rush in,Comedy,31%,64%
The Hidden Room,obsession,"Crime,Film-Noir,Thriller",,
Home of the Brave,home of the brave,"Drama,War",23%,46%
Homicide,homicide,"Crime,Drama",,
Jigsaw,jigsaw,"Crime,Drama,Film-Noir",,
The Judge,the judge,"Crime,Drama,Film-Noir",,
Project X,project x,"Action,Adventure,Drama",,71%
Born Yesterday,born yesterday,"Comedy,Drama,Romance",,
Breakthrough,breakthrough,"Drama,War",,
Cheaper by the Dozen,cheaper by the dozen,"Comedy,Drama,Family",24%,56%
Crisis,crisis,"Crime,Drama,Romance",,
Cyrano de Bergerac,cyrano de bergerac,"Adventure,Drama,Romance",,
Dark City,dark city,"Crime,Drama,Film-Noir",76%,85%
Father of the Bride,father of the bride,"Comedy,Drama,Romance",,
The Glass Menagerie,the glass menagerie,Drama,,
The Goldbergs,molly,Comedy,14%,52%
Hot Rod,hot rod,"Action,Drama",39%,64%
Man in the Dinghy,into the blue,Comedy,21%,57%
Julius Caesar,julius caesar,"Drama,History",,
Last Holiday,last holiday,"Comedy,Drama,Romance",100%,77%
My Blue Heaven,my blue heaven,"Drama,Musical",71%,59%
Native Son,native son,"Drama,Film-Noir",44%,
No Way Out,no way out,"Crime,Drama,Film-Noir",,
Pretty Baby,pretty baby,Comedy,71%,58%
Stage Fright,stage fright,"Film-Noir,Mystery,Thriller",,
Stella,stella,"Comedy,Crime,Romance",29%,76%
Fortune in Diamonds,the adventurers,"Adventure,Drama",,41%
Anna,anna,"Drama,Romance",,
The Black Widow,black widow,"Crime,Drama,Thriller",,
The Browning Version,the browning version,Drama,78%,79%
The Day the Earth Stood Still,the day the earth stood still,"Drama,Sci-Fi",21%,27%
Death of a Salesman,death of a salesman,Drama,100%,77%
The Enforcer,the enforcer,"Crime,Film-Noir,Thriller",69%,59%
G.I. Jane,g.i. jane,Musical,53%,53%
The Girl on the Bridge,the girl on the bridge,"Crime,Drama",88%,91%
I'll See You in My Dreams,i'll see you in my dreams,"Biography,Comedy,Drama",93%,68%
Lone Star,lone star,"Drama,Western",,
Bloodhounds of Broadway,bloodhounds of broadway,"Comedy,Musical",,
Breakdown,breakdown,"Crime,Drama,Film-Noir",,
Carrie,carrie,"Drama,Romance",50%,44%
Fargo,fargo,Western,95%,92%
Ghost Ship,ghost ship,Horror,15%,37%
The Importance of Being Earnest,the importance of being earnest,"Comedy,Drama",57%,72%
Invitation,invitation,"Drama,Romance",,57%
My Cousin Rachel,my cousin rachel,"Drama,Mystery,Romance",60%,74%
No Holds Barred,no holds barred,"Comedy,Family",10%,34%
The Star,the star,"Drama,Romance",25%,59%
The Stranger in Between,hunted,"Crime,Drama,Film-Noir",,62%
The Stranger in Between,hunted,"Crime,Drama,Film-Noir",,
Target,target,Western,,
Thunderbirds,thunderbirds,"Adventure,Drama,Romance",19%,37%
Mr. Potts Goes to Moscow,top secret,Comedy,,
When in Rome,when in rome,"Comedy,Crime,Drama",17%,41%
Arena,arena,"Drama,Sport,Western",,
Child's Play,child's play,"Comedy,Sci-Fi",74%,65%
The Girl Next Door,the girl next door,"Comedy,Musical",,65%
The Girl Next Door,the girl next door,"Comedy,Musical",,71%
The Horse's Mouth,the oracle,"Comedy,Fantasy",,0%
House of Wax,house of wax,Horror,28%,43%
Inferno,inferno,"Crime,Drama,Romance",,
Invaders from Mars,invaders from mars,"Horror,Sci-Fi",88%,56%
Jennifer,jennifer,"Drama,Mystery,Thriller",,40%
Let's Do It Again,let's do it again,"Comedy,Musical",60%,86%
The Marksman,the marksman,Western,,
The Marksman,the marksman,Western,,23%
Never Let Me Go,never let me go,"Adventure,Drama,Romance",,62%
Off Limits,off limits,Comedy,45%,31%
Return to Paradise,return to paradise,"Adventure,Drama,Romance",,0%
Split Second,split second,"Crime,Drama,Film-Noir",,33%
Taxi,taxi,"Drama,Romance",9%,43%
Twice Upon a Time,twice upon a time,"Comedy,Drama,Family",,91%
Vice Squad,vice squad,"Crime,Drama,Film-Noir",60%,65%
White Lightning,white lightning,"Drama,Sport",67%,61%
The Bounty Hunter,the bounty hunter,"Drama,Western",,
Double Jeopardy,double jeopardy,"Action,Adventure,Crime",,27%
The Fast and the Furious,the fast and the furious,"Crime,Drama,Film-Noir",54%,74%
Impulse,impulse,"Crime,Drama,Mystery",,22%
Maxie,maxie,"Comedy,Drama",0%,27%
Sabrina,sabrina,"Comedy,Drama,Romance",,43%
Taxi Driver,taxi driver,"Musical,Romance",89%,93%
Young at Heart,young at heart,"Drama,Music,Romance",90%,91%
Angela,angela,"Crime,Drama",,
The Cobweb,the cobweb,Drama,75%,48%
Lady and the Tramp,lady and the tramp,"Adventure,Animation,Comedy",93%,80%
The Ladykillers,the ladykillers,"Comedy,Crime",54%,43%
Summertime,summertime,"Comedy,Drama,Romance",92%,79%
Top Gun,top gun,Western,57%,83%
Underwater!,underwater!,"Adventure,Drama",,14%
Yellow Rose,yellow rose,,87%,76%
1984,1984,"Drama,Sci-Fi",,75%
Anastasia,anastasia,"Biography,Drama,History",,90%
Beyond a Reasonable Doubt,beyond a reasonable doubt,"Crime,Drama,Film-Noir",68%,56%
The Brave One,the brave one,"Drama,Family",43%,64%
Giant,giant,"Drama,Western",88%,87%
The Harder They Fall,the harder they fall,"Drama,Film-Noir,Sport",88%,93%
Hot Shots,hot shots,"Comedy,Family",,
The King and I,the king and i,"Biography,Drama,Musical",13%,41%
A Kiss Before Dying,a kiss before dying,"Crime,Drama,Film-Noir",36%,31%
The Peacemaker,the peacemaker,Western,,
Reprisal!,reprisal!,Western,,
Smiley,smiley,Comedy,,
3:10 to Yuma,3:10 to yuma,"Adventure,Drama,Thriller",89%,86%
Fire Down Below,fire down below,"Adventure,Drama,Romance",,27%
The Girl Most Likely,the girl most likely,"Comedy,Musical",,17%
Code of Silence,code of silence,"Crime,Drama",68%,51%
Lizzie,lizzie,Drama,,7%
Man on Fire,man on fire,Drama,39%,89%
The Moonraker,the moonraker,"Action,Adventure,Drama",,38%
Not of This Earth,not of this earth,"Horror,Sci-Fi",,
La vida por delante,la vida por delante,Comedy,,
The Blob,the blob,"Horror,Sci-Fi",68%,52%
Christine,christine,"Comedy,Drama,Romance",72%,64%
Dunkirk,dunkirk,"Action,Drama,History",60%,73%
The Fly,the fly,"Drama,Horror,Sci-Fi",,
House on Haunted Hill,house on haunted hill,"Crime,Horror,Mystery",79%,73%
In Love and War,in love and war,"Drama,War",,33%
Joy Ride,joy ride,"Crime,Drama,Film-Noir",74%,66%
The Witches from Another World,machete,"Adventure,Comedy,Drama",70%,63%
The Matchmaker,the matchmaker,"Comedy,Romance",,29%
Teacher's Pet,teacher's pet,"Comedy,Romance",,
Vertigo,vertigo,"Mystery,Romance,Thriller",92%,93%
Ben-Hur,ben-hur,"Adventure,Drama",85%,89%
Girls Town,girls town,"Crime,Drama,Music",,
Journey to the Center of the Earth,journey to the center of the earth,"Adventure,Family,Fantasy",84%,69%
Labyrinth,labyrinth,Drama,77%,86%
The Rookie,the rookie,Comedy,84%,70%
Santa Claus,santa claus,"Comedy,Family,Fantasy",22%,67%
The Shaggy Dog,the shaggy dog,"Comedy,Family,Fantasy",,
The Shaggy Dog,the shaggy dog,"Comedy,Family,Fantasy",26%,39%
Sleeping Beauty,sleeping beauty,"Adventure,Animation,Family",,
"Tarzan, the Ape Man","tarzan, the ape man","Action,Adventure,Romance",,20%
Warlock,warlock,Western,56%,48%
The Alamo,the alamo,"Adventure,Drama,History",29%,46%
Boulevard,boulevard,"Comedy,Drama",,20%
The Hand,the hand,"Crime,Drama,Horror",,93%
Inherit the Wind,inherit the wind,"Biography,Drama,History",93%,91%
The Magnificent Seven,the magnificent seven,"Action,Adventure,Drama",64%,71%
Ocean's Eleven,ocean's eleven,"Comedy,Crime,Music",83%,80%
Private Property,private property,"Crime,Drama",71%,
Psycho,psycho,"Drama,Horror,Mystery",97%,95%
The Risk,suspect,"Crime,Drama,Thriller",,
School for Scoundrels,school for scoundrels,Comedy,27%,52%
There Was a Crooked Man,there was a crooked man,Comedy,82%,72%
The Time Machine,the time machine,"Adventure,Romance,Sci-Fi",,43%
All Night Long,all night long,"Drama,Music",,
Cry Freedom,cry freedom,"Drama,Romance,War",74%,87%
The Kitchen,the kitchen,Drama,24%,69%
Dark Journey,leviathan,Drama,23%,27%
The Misfits,the misfits,"Drama,Romance,Western",17%,46%
The Misfits,the misfits,"Drama,Romance,Western",97%,78%
One Hundred and One Dalmatians,one hundred and one dalmatians,"Adventure,Animation,Comedy",98%,76%
Paradise Alley,paradise alley,Drama,40%,44%
The Parent Trap,the parent trap,"Comedy,Family,Romance",87%,70%
Sanctuary,sanctuary,Drama,,89%
Something Wild,something wild,Drama,91%,69%
West Side Story,west side story,"Crime,Drama,Musical",92%,84%
Wonderful to Be Young!,the young ones,"Comedy,Musical",,54%
Beauty and the Beast,beauty and the beast,"Family,Fantasy,Horror",,
Beauty and the Beast,beauty and the beast,"Family,Fantasy,Horror",93%,92%
Lawrence of Arabia,lawrence of arabia,"Adventure,Biography,Drama",93%,93%
Lolita,lolita,"Crime,Drama,Romance",,
The Manchurian Candidate,the manchurian candidate,"Drama,Thriller",80%,63%
No Exit,no exit,Drama,,50%
Professor,professor,"Comedy,Drama,Musical",,
Serena,serena,"Crime,Drama,Mystery",,
Dilemma,dilemma,Drama,,
From Russia with Love,from russia with love,"Action,Adventure,Thriller",97%,84%
House of the Damned,house of the damned,"Horror,Mystery,Thriller",,44%
Lord of the Flies,lord of the flies,"Adventure,Drama,Thriller",55%,52%
The Nutty Professor,the nutty professor,"Comedy,Romance,Sci-Fi",82%,67%
The Nutty Professor,the nutty professor,"Comedy,Romance,Sci-Fi",,36%
The Pink Panther,the pink panther,"Comedy,Crime,Romance",89%,78%
The Pink Panther,the pink panther,"Comedy,Crime,Romance",21%,51%
The Quick and the Dead,the quick and the dead,"Action,Drama,War",,
Rampage,rampage,"Adventure,Romance",,
The Running Man,the running man,"Crime,Drama,Thriller",67%,61%
Shotgun Wedding,shotgun wedding,Comedy,,
The Sword in the Stone,the sword in the stone,"Adventure,Animation,Comedy",66%,73%
X: The Man with the X-Ray Eyes,x,"Horror,Sci-Fi,Thriller",,
The Candidate,the candidate,Drama,,
The Candidate,the candidate,Drama,89%,74%
Duel,duel,Drama,,
The Finest Hours,the finest hours,"Biography,Documentary,History",64%,66%
The Finest Hours,the finest hours,"Biography,Documentary,History",,
Hysteria,hysteria,"Crime,Mystery,Thriller",,44%
Nothing But a Man,nothing but a man,"Drama,Romance",98%,88%
The Outrage,the outrage,"Crime,Drama,Western",20%,42%
Shock Treatment,shock treatment,"Drama,Mystery,Thriller",43%,62%
The Visit,the visit,Drama,,
The Visit,the visit,Drama,72%,45%
Big Daddy,big daddy,"Adventure,Crime,Drama",39%,74%
Brainstorm,brainstorm,"Drama,Thriller",,
The Collector,the collector,"Drama,Thriller",,
Help!,help!,"Adventure,Comedy,Musical",,40%
The Hill,the hill,"Drama,War",44%,97%
Underworld Informers,the informers,"Crime,Drama,Thriller",,
The Ravagers,the ravagers,"Action,Drama,War",,50%
The Secret of My Success,the secret of my success,"Comedy,Horror",,
The Secret of My Success,the secret of my success,"Comedy,Horror",49%,58%
Alfie,alfie,"Comedy,Drama",48%,51%
The Appaloosa,the appaloosa,"Action,Drama,Romance",,46%
The Cat,the cat,"Adventure,Drama",,
The Cat,the cat,"Adventure,Drama",,
The Witches,the witches,Horror,94%,70%
Fahrenheit 451,fahrenheit 451,"Drama,Sci-Fi",31%,22%
Penelope,penelope,"Comedy,Crime",,
Rage,rage,"Drama,Thriller",,
The Reptile,the reptile,Horror,71%,39%
The Animal,the animal,Thriller,,
Assassination,assassination,"Drama,Thriller",,21%
Belle de Jour,belle de jour,"Drama,Romance",95%,85%
Casino Royale,casino royale,Comedy,94%,90%
The Edge,the edge,Drama,,
The Edge,the edge,Drama,62%,70%
Fathom,fathom,"Adventure,Comedy",33%,41%
Games,games,Thriller,57%,48%
The Jungle Book,the jungle book,"Adventure,Animation,Comedy",,75%
The Jungle Book,the jungle book,"Adventure,Animation,Comedy",,
Luv,luv,"Comedy,Romance",,39%
Wanted,wanted,"Action,Drama,Romance",,
Oscar,oscar,Comedy,,
Paranoia,paranoia,Drama,,
Point Blank,point blank,"Crime,Drama,Thriller",91%,77%
The Trip,the trip,Drama,89%,70%
2001: A Space Odyssey,2001: a space odyssey,"Adventure,Sci-Fi",92%,89%
Candy,candy,"Adventure,Comedy,Fantasy",47%,77%
Countdown,countdown,"Sci-Fi,Thriller",,
Deadfall,deadfall,"Crime,Drama,Thriller",,37%
The Invincible Six,the invincible six,"Action,Adventure,Crime",,
Night of the Living Dead,night of the living dead,"Horror,Thriller",95%,87%
The Power,the power,"Sci-Fi,Thriller",,0%
The Queen,the queen,Documentary,97%,76%
Separation,separation,Drama,,
Sweet November,sweet november,"Comedy,Drama,Romance",,62%
The Thomas Crown Affair,the thomas crown affair,"Crime,Drama,Romance",70%,74%
Armageddon,armageddon,"Action,Sci-Fi",43%,73%
The Big Bounce,the big bounce,Drama,,32%
The Big Bounce,the big bounce,Drama,15%,24%
Colossus: The Forbin Project,colossus: the forbin project,"Sci-Fi,Thriller",89%,76%
The Desperados,the desperados,Western,,27%
The Fall,the fall,"Documentary,Music",,
The Honeymoon Killers,the honeymoon killers,"Crime,Drama,Romance",95%,69%
The Italian Job,the italian job,"Action,Comedy,Crime",72%,80%
Last Summer,last summer,Drama,78%,73%
Lucia,lucía,Drama,,86%
Midnight Cowboy,midnight cowboy,Drama,89%,88%
The Phantom Tollbooth,the phantom tollbooth,"Adventure,Animation,Comedy",100%,76%
Prince,prince,Romance,70%,56%
Scream and Scream Again,scream and scream again,"Crime,Drama,Horror",63%,28%
Taste the Blood of Dracula,taste the blood of dracula,"Drama,Fantasy,Horror",54%,54%
Three,three,"Drama,Romance",,
True Grit,true grit,"Adventure,Drama,Western",88%,84%
Two Mules for Sister Sara,two mules for sister sara,"Adventure,Drama,Romance",71%,73%
The Wild Bunch,the wild bunch,"Action,Adventure,Drama",91%,90%
Act of the Heart,act of the heart,Drama,,
Airport,airport,"Action,Drama,Thriller",75%,54%
Alex in Wonderland,alex in wonderland,"Comedy,Drama",,31%
And Soon the Darkness,and soon the darkness,"Horror,Mystery,Thriller",29%,63%
Angel Unchained,angel unchained,"Action,Drama,Thriller",,16%
The Aristocats,the aristocats,"Adventure,Animation,Comedy",,
The Aristocats,the aristocats,"Adventure,Animation,Comedy",64%,70%
The Baby Maker,the baby maker,Drama,,50%
The Ballad of Cable Hogue,the ballad of cable hogue,"Comedy,Drama,Romance",94%,81%
Beneath the Planet of the Apes,beneath the planet of the apes,"Action,Adventure,Sci-Fi",37%,38%
Beyond the Valley of the Dolls,beyond the valley of the dolls,"Comedy,Drama,Music",76%,72%
Bloody Mama,bloody mama,"Crime,Drama",14%,42%
The Boatniks,the boatniks,"Comedy,Family",,53%
Borsalino,borsalino,"Crime,Drama",,69%
The Boys in the Band,the boys in the band,Drama,84%,74%
The Boys in the Band,the boys in the band,Drama,90%,87%
Brewster McCloud,brewster mccloud,"Comedy,Crime,Fantasy",86%,81%
A Bullet for Pretty Boy,a bullet for pretty boy,"Action,Biography,Crime",,
Carry on Up the Jungle,carry on up the jungle,"Adventure,Comedy",,48%
Catch-22,catch-22,"Comedy,Drama,War",81%,76%
The Cheyenne Social Club,the cheyenne social club,Western,,68%
Chisum,chisum,"Biography,Drama,Western",83%,74%
The Cockeyed Cowboys of Calico County,the cockeyed cowboys of calico county,"Comedy,Western",,55%
Cotton Comes to Harlem,cotton comes to harlem,"Action,Comedy,Crime",,67%
Countess Dracula,countess dracula,Horror,40%,44%
Cover Me Babe,cover me babe,Drama,,
Crimes of the Future,crimes of the future,"Comedy,Sci-Fi",67%,29%
Cromwell,cromwell,"Biography,Drama,History",43%,69%
Darling Lili,darling lili,"Comedy,Drama,Musical",40%,69%
Deadlock,deadlock,"Thriller,Western",,
Diary of a Mad Housewife,diary of a mad housewife,"Comedy,Drama",82%,81%
Dirty Dingus Magee,dirty dingus magee,"Comedy,Romance,Western",,56%
The Dunwich Horror,the dunwich horror,Horror,29%,29%
The Executioner,the executioner,"Drama,Thriller",,
The Executioner,the executioner,"Drama,Thriller",,30%
Five Easy Pieces,five easy pieces,Drama,89%,84%
Fragment of Fear,fragment of fear,"Crime,Drama,Horror",,36%
The Games,the games,"Drama,Sport",,
Getting Straight,getting straight,"Comedy,Drama,Romance",33%,41%
Gimme Shelter,gimme shelter,"Documentary,Music,Thriller",94%,91%
Goin' Down the Road,goin' down the road,Drama,,83%
The Grasshopper,the grasshopper,"Drama,Romance",,
The Grasshopper,the grasshopper,"Drama,Romance",,55%
The Great White Hope,the great white hope,"Drama,Romance,Sport",43%,67%
Halls of Anger,halls of anger,Drama,,30%
The Hawaiians,the hawaiians,"Adventure,Drama",,52%
Hercules in New York,hercules in new york,"Adventure,Comedy,Fantasy",14%,27%
The Horror of Frankenstein,the horror of frankenstein,"Comedy,Horror,Sci-Fi",55%,40%
House of Dark Shadows,house of dark shadows,"Drama,Fantasy,Horror",43%,70%
How Do I Love Thee?,how do i love thee?,"Comedy,Drama",,
Husbands,husbands,"Comedy,Drama",66%,79%
I Never Sang for My Father,i never sang for my father,Drama,100%,83%
I Walk the Line,i walk the line,Drama,,69%
Joe,joe,"Drama,Thriller",75%,64%
Kelly's Heroes,kelly's heroes,"Adventure,Comedy,War",79%,88%
King of the Grizzlies,king of the grizzlies,"Family,Western",,27%
The Landlord,the landlord,"Comedy,Drama,Romance",,41%
The Landlord,the landlord,"Comedy,Drama,Romance",93%,79%
The Last Rebel,the last rebel,Western,,
The Last Valley,the last valley,"Adventure,Drama,War",,78%
Leo the Last,leo the last,"Comedy,Drama",,50%
Let It Be,let it be,"Documentary,Music",81%,88%
The Liberation of L.B. Jones,the liberation of l.b. jones,"Crime,Drama,Romance",63%,92%
Little Big Man,little big man,"Adventure,Drama,Western",91%,87%
Little Fauss and Big Halsy,little fauss and big halsy,Drama,33%,47%
Lovers and Other Strangers,lovers and other strangers,"Comedy,Drama,Romance",100%,75%
Loving,loving,"Comedy,Drama",,
The Magic Garden of Stanley Sweetheart,the magic garden of stanley sweetheart,Drama,,
The Man Who Haunted Himself,the man who haunted himself,"Drama,Mystery,Thriller",,55%
The Mind of Mr. Soames,the mind of mr. soames,"Drama,Sci-Fi",,40%
The Molly Maguires,the molly maguires,"Drama,History",90%,62%
The Moonshine War,the moonshine war,"Comedy,Crime,Drama",,36%
Move,move,"Comedy,Fantasy",,
The Music Lovers,the music lovers,"Biography,Comedy,Drama",61%,74%
"My Lover, My Son","my lover, my son",Drama,,
Myra Breckinridge,myra breckinridge,Comedy,27%,35%
The Losers,the losers,"Action,Drama,Thriller",,
The Losers,the losers,"Action,Drama,Thriller",,44%
No Blade of Grass,no blade of grass,"Drama,Sci-Fi",29%,42%
Norwood,norwood,"Comedy,Musical",,
On a Clear Day You Can See Forever,on a clear day you can see forever,"Comedy,Drama,Fantasy",100%,75%
One More Time,one more time,"Comedy,Thriller",,
The Only Game in Town,the only game in town,"Comedy,Drama,Romance",,35%
The Owl and the Pussycat,the owl and the pussycat,"Comedy,Romance",82%,64%
Patton,patton,"Biography,Drama,War",91%,93%
The People Next Door,the people next door,Drama,,47%
The People Next Door,the people next door,Drama,,40%
Perfect Friday,perfect friday,"Comedy,Crime",,67%
Performance,performance,"Crime,Drama",82%,78%
The Private Life of Sherlock Holmes,the private life of sherlock holmes,"Adventure,Comedy,Crime",89%,73%
Puzzle of a Downfall Child,puzzle of a downfall child,Drama,,61%
Quackser Fortune Has a Cousin in the Bronx,quackser fortune has a cousin in the bronx,"Comedy,Drama,Romance",,64%
Red the Half Breed,red,Drama,72%,72%
The Revolutionary,the revolutionary,"Action,Drama",,
The Revolutionary,the revolutionary,"Action,Drama",,
Rio Lobo,rio lobo,"Drama,War,Western",70%,70%
Ryan's Daughter,ryan's daughter,"Drama,Romance",47%,73%
