primaryTitle,originalTitle,genres,critic_score,audience_score
Wilson,wilson,"Biography,Drama,History",89%,41%
The Woman in the Window,the woman in the window,"Crime,Drama,Film-Noir",86%,83%
And Then There Were None,and then there were none,"Crime,Drama,Mystery",100%,77%
Bewitched,bewitched,"Crime,Drama,Film-Noir",24%,28%
Dakota,dakota,Western,22%,67%
Dillinger,dillinger,"Biography,Crime,Drama",,44%
The Unseen,the unseen,"Drama,Film-Noir,Horror",,40%
The Unseen,the unseen,"Drama,Film-Noir,Horror",,
The Wicked Lady,the wicked lady,"Adventure,Drama",,38%
The Chase,the chase,"Crime,Drama,Film-Noir",40%,44%
Cloak and Dagger,cloak and dagger,"Adventure,Film-Noir,Romance",67%,56%
Crime of the Century,crime of the century,"Crime,Drama,Film-Noir",,74%
Fear,fear,"Drama,Film-Noir,Mystery",,40%
God's Country,god's country,"Drama,Western",,91%
Inside Job,inside job,"Crime,Drama,Film-Noir",98%,91%
Just Before Dawn,just before dawn,"Crime,Drama,Mystery",60%,52%
Nocturne,nocturne,"Crime,Drama,Film-Noir",,47%
Notorious,notorious,"Drama,Film-Noir,Mystery",,
The Razor's Edge,the razor's edge,"Drama,Romance",56%,71%
Song of the South,song of the south,"Animation,Comedy,Family",50%,72%
The Big Fix,the big fix,"Crime,Drama,Film-Noir",86%,84%
The Big Fix,the big fix,"Crime,Drama,Film-Noir",88%,49%
Born to Kill,born to kill,"Crime,Drama,Film-Noir",,
Calendar Girl,calendar girl,"Musical,Romance",11%,31%
Cry Wolf,cry wolf,"Crime,Drama,Film-Noir",23%,51%
Dragnet,dragnet,"Action,Adventure,Comedy",43%,66%
The Guilty,the guilty,"Crime,Film-Noir,Mystery",40%,41%
An Ideal Husband,an ideal husband,"Comedy,Drama",,
Kiss of Death,kiss of death,"Crime,Drama,Film-Noir",,
The Long Night,the long night,"Drama,Film-Noir",,
The Long Night,the long night,"Drama,Film-Noir",,51%
The Marauders,the marauders,"Drama,Western",,
Miracle on 34th Street,miracle on 34th street,"Comedy,Drama,Family",96%,87%
Nightmare Alley,nightmare alley,"Drama,Film-Noir",88%,86%
The Secret Life of Walter Mitty,the secret life of walter mitty,"Comedy,Fantasy,Romance",52%,71%
The Secret Life of Walter Mitty,the secret life of walter mitty,"Comedy,Fantasy,Romance",82%,80%
Shoot to Kill,shoot to kill,"Crime,Drama,Film-Noir",,
When the Bough Breaks,when the bough breaks,Drama,,
Wild Country,wild country,Western,,
The Accused,the accused,"Drama,Film-Noir,Romance",,
Bodyguard,bodyguard,"Crime,Drama,Film-Noir",,64%
Quartet,quartet,"Drama,Romance",,
Fandango,fandango,Comedy,,
Fighting Back,fighting back,"Crime,Drama,Mystery",20%,47%
Homecoming,homecoming,"Drama,Mystery,Romance",0%,33%
I Love Trouble,i love trouble,"Crime,Drama,Film-Noir",22%,33%
Raw Deal,raw deal,"Crime,Drama,Film-Noir",,
Relentless,relentless,"Drama,Romance,Western",50%,33%
